iso3c,country_name,taxa,tonnes_fofm
SVK,Slovakia,catfish,279.0216551069327
SRB,Serbia,trout,863.7684727392193
IRQ,Iraq,hypoph_carp,9.961511863680384
KGZ,Kyrgyzstan,oth_carp,94.27738989144778
MWI,Malawi,catfish,268.3147058343389
HKG,Hong Kong SAR China,catfish,260.5633921102358
IND,India,trout,799.9773386087477
SYR,Syria,tilapia,87.60264690388115
HKG,Hong Kong SAR China,oth_carp,88.41124118709102
SVN,Slovenia,trout,771.08403943782
CRI,Costa Rica,trout,752.9198481023508
CZE,Czechia,trout,741.6260503808155
JOR,Jordan,oth_carp,80.65954468490533
KGZ,Kyrgyzstan,trout,710.5681066465935
TUN,Tunisia,catfish,210.7761078054195
EST,Estonia,trout,660.8848081699397
FRA,France,catfish,208.68921564893023
USA,United States,misc_diad,2344.220227073052
MNE,Montenegro,trout,651.2756686085335
PRY,Paraguay,oth_carp,71.1270530403256
CZE,Czechia,hypoph_carp,7.482202244275488
AUT,Austria,oth_carp,69.39863422564906
PRT,Portugal,trout,616.123723200255
POL,Poland,hypoph_carp,7.205493581395476
SVK,Slovakia,oth_carp,68.08922603271229
IRL,Ireland,trout,608.9239271527762
KAZ,Kazakhstan,oth_carp,67.56546275553757
TUN,Tunisia,oth_carp,66.09892557944839
KEN,Kenya,trout,581.630582659066
LVA,Latvia,oth_carp,64.68476473107668
ALB,Albania,trout,564.6898860767631
CIV,Côte d’Ivoire,catfish,172.91392153768507
HKG,Hong Kong SAR China,hypoph_carp,6.364299246240245
COG,Congo - Brazzaville,tilapia,58.263535573942264
ITA,Italy,oth_carp,57.82346580008797
NPL,Nepal,tilapia,57.01947431613567
HRV,Croatia,hypoph_carp,6.079842740799595
DOM,Dominican Republic,catfish,159.49818624596813
BLR,Belarus,trout,498.527054424769
MLI,Mali,catfish,149.0637254635216
SYR,Syria,catfish,149.0637254635216
TWN,Taiwan,hypoph_carp,5.286961738183212
AUT,Austria,catfish,140.86522056302792
BIH,Bosnia & Herzegovina,oth_carp,49.02424274355285
USA,United States,oth_carp,48.29097415550825
CUB,Cuba,tilapia,46.54862539626348
GEO,Georgia,oth_carp,46.719684323984126
KHM,Cambodia,hypoph_carp,4.6487055363841785
ZAF,South Africa,tilapia,41.67605213652098
ISR,Israel,trout,376.4599240511754
KGZ,Kyrgyzstan,hypoph_carp,4.42733860608017
HRV,Croatia,trout,372.22474990559965
GUY,Guyana,catfish,109.04548147068273
PNG,Papua New Guinea,oth_carp,36.66342940222969
UKR,Ukraine,trout,323.9437646460364
GIN,Guinea,tilapia,35.55941761897188
AZE,Azerbaijan,oth_carp,35.61590284788027
GEO,Georgia,hypoph_carp,3.7189644291073427
DZA,Algeria,catfish,98.46136070787087
NPL,Nepal,trout,296.4621901903006
LTU,Lithuania,catfish,93.54941282639689
AZE,Azerbaijan,trout,293.6387407599168
ROU,Romania,catfish,91.42674537579634
CHE,Switzerland,catfish,90.92887253274819
BLR,Belarus,hypoph_carp,3.3426406475905286
MAR,Morocco,tilapia,31.10153144516491
KAZ,Kazakhstan,trout,270.10999550671835
THA,Thailand,hypoph_carp,2.9552485195585136
DNK,Denmark,catfish,79.00377449566645
SEN,Senegal,tilapia,26.954660585809588
BFA,Burkina Faso,tilapia,26.228958185422407
HKG,Hong Kong SAR China,tilapia,25.917942870970755
JAM,Jamaica,catfish,74.23373528083376
KEN,Kenya,oth_carp,25.87390589243067
PAK,Pakistan,tilapia,25.399584013551344
MKD,North Macedonia,oth_carp,25.140637304386075
TUR,Turkey,oth_carp,24.407368716341484
NER,Niger,tilapia,23.844507441293096
TJK,Tajikistan,oth_carp,24.093110750036654
GIN,Guinea,catfish,68.53950096812723
SGP,Singapore,catfish,67.12905999779139
SRB,Serbia,hypoph_carp,2.444112277486558
AUS,Australia,trout,206.46003384776586
ARM,Armenia,catfish,64.69365685116837
GBR,United Kingdom,oth_carp,22.581529932110442
TJK,Tajikistan,hypoph_carp,2.3243527681920892
UGA,Uganda,oth_carp,21.998057641337816
LBR,Liberia,tilapia,21.25271315419602
LKA,Sri Lanka,misc_diad,673.8963375627288
ALB,Albania,catfish,59.62549018540864
ARM,Armenia,hypoph_carp,2.213669303040085
DOM,Dominican Republic,oth_carp,20.950531086988395
BLR,Belarus,catfish,55.30264214696651
BTN,Bhutan,oth_carp,19.379241255464265
ISR,Israel,hypoph_carp,1.9369606401600745
KWT,Kuwait,tilapia,18.14256000967953
LTU,Lithuania,hypoph_carp,1.8208536852156219
RWA,Rwanda,catfish,46.50788234461874
JPN,Japan,catfish,45.315372540910566
BOL,Bolivia,oth_carp,15.712898315241297
JOR,Jordan,tilapia,15.550765722582454
PNG,Papua New Guinea,trout,141.17247151919076
EST,Estonia,catfish,44.25105754110102
SVN,Slovenia,oth_carp,14.487292246652476
KOR,South Korea,tilapia,14.306704464775859
COG,Congo - Brazzaville,catfish,38.756568620515615
UZB,Uzbekistan,trout,122.349475316632
GTM,Guatemala,trout,120.46717569637612
FIN,Finland,catfish,37.89199901282719
ETH,Ethiopia,tilapia,12.855299664001496
PAN,Panama,tilapia,12.450979755214352
ECU,Ecuador,catfish,35.77529411124519
NER,Niger,catfish,35.77529411124519
BFA,Burkina Faso,catfish,35.47716666031814
HRV,Croatia,catfish,35.208851954483805
DEU,Germany,tilapia,11.6112384061949
SRB,Serbia,catfish,32.18285832757431
LTU,Lithuania,trout,99.90305234508067
TGO,Togo,tilapia,10.678192462839952
CAF,Central African Republic,tilapia,10.367177148388304
FJI,Fiji,tilapia,10.367177148388304
MAR,Morocco,trout,94.11498101279385
POL,Poland,tilapia,10.367177148388304
SAU,Saudi Arabia,catfish,29.81274509270432
SWZ,Eswatini,tilapia,10.367177148388304
ZMB,Zambia,oth_carp,10.443839746863715
ARG,Argentina,oth_carp,10.366322781841857
NOR,Norway,trout,91.29153158241003
LVA,Latvia,trout,86.77401249379594
SUR,Suriname,catfish,24.371919113285784
GUY,Guyana,tilapia,8.309810843290645
COD,Congo - Kinshasa,catfish,23.850196074163456
SLE,Sierra Leone,tilapia,8.293741718710642
VEN,Venezuela,trout,75.29198481023508
OMN,Oman,tilapia,8.008437003586996
BIH,Bosnia & Herzegovina,catfish,22.806749995918803
BDI,Burundi,catfish,22.359558819528242
BEL,Belgium,catfish,22.359558819528242
HTI,Haiti,catfish,22.359558819528242
GUM,Guam,tilapia,7.257024003871813
TLS,Timor-Leste,tilapia,7.257024003871813
"NAM",Namibia,tilapia,7.214518577563421
TCD,Chad,tilapia,6.738665146452397
BLZ,Belize,tilapia,6.220306289032982
CHE,Switzerland,tilapia,6.220306289032982
RUS,Russia,tilapia,6.220306289032982
ARG,Argentina,tilapia,5.837757452257454
MWI,Malawi,trout,52.70438936716455
LVA,Latvia,catfish,16.677249604858797
HTI,Haiti,oth_carp,5.761396048921809
HUN,Hungary,trout,50.916204727921475
MDA,Moldova,catfish,15.94981862459681
ZWE,Zimbabwe,trout,47.90452533551206
AFG,Afghanistan,trout,47.057490506396924
BOL,Bolivia,tilapia,5.183588574194152
COL,Colombia,oth_carp,5.237632771747099
PRK,North Korea,tilapia,5.183588574194152
SVN,Slovenia,catfish,13.743675487736692
GAB,Gabon,tilapia,4.6652297167747365
NLD,Netherlands,trout,42.351741455757235
MWI,Malawi,oth_carp,4.609116839137448
CYP,Cyprus,trout,40.94001674056532
AZE,Azerbaijan,hypoph_carp,0.4759389001536183
AGO,Angola,catfish,11.925098037081728
ESP,Spain,oth_carp,4.112694005031257
ARE,United Arab Emirates,tilapia,3.939527316387555
VEN,Venezuela,tilapia,3.6285120019359063
GRC,Greece,catfish,9.778580390407017
CAF,Central African Republic,oth_carp,3.1425796630482594
SEN,Senegal,catfish,8.943823527811297
TKM,Turkmenistan,oth_carp,3.1425796630482594
SVK,Slovakia,hypoph_carp,0.32098204894081234
TGO,Togo,catfish,8.645696076884253
PSE,Palestinian Territories,tilapia,2.695466058580959
PAN,Panama,catfish,7.560512155509816
BRB,Barbados,tilapia,2.591794287097076
CAF,Central African Republic,catfish,7.45318627317608
CMR,Cameroon,oth_carp,2.6188163858735494
GNB,Guinea-Bissau,tilapia,2.591794287097076
TLS,Timor-Leste,oth_carp,2.514063730438607
LKA,Sri Lanka,milkfish,18.742618769368296
EGY,Egypt,oth_carp,2.4616874027211364
ASM,American Samoa,tilapia,2.0734354296776605
BTN,Bhutan,trout,18.82299620255877
BWA,Botswana,tilapia,2.0734354296776605
KGZ,Kyrgyzstan,catfish,5.962549018540864
PAN,Panama,trout,18.82299620255877
SSD,South Sudan,tilapia,2.0734354296776605
TCD,Chad,catfish,5.962549018540864
TJK,Tajikistan,catfish,5.962549018540864
TKM,Turkmenistan,catfish,5.962549018540864
TKM,Turkmenistan,hypoph_carp,0.2213669303040085
ZAF,South Africa,catfish,5.962549018540864
GEO,Georgia,catfish,5.664421567613821
TUN,Tunisia,tilapia,1.9697636581937774
LKA,Sri Lanka,hypoph_carp,0.19923023727360767
MNP,Northern Mariana Islands,tilapia,1.8660918867098946
BTN,Bhutan,hypoph_carp,0.18816189075840722
